customer_id,first_name,last_name,email,state,signup_date,age
1,Danielle,Johnson,john21@example.net,NY,2024-12-14,19
2,Amy,Garza,johnsonjeffery@example.net,NC,2024-09-04,33
3,Anna,Baldwin,lrobinson@example.com,GA,2025-02-02,26
4,Adam,Shaffer,jpeterson@example.org,NY,2025-05-21,61
5,Matthew,Davis,howardmaurice@example.com,MO,2025-02-01,23
6,Jessica,Herrera,smiller@example.net,MD,2024-09-16,45
7,Michelle,Ray,williamsjeremy@example.com,TX,2025-06-11,19
8,Melissa,Delacruz,oramirez@example.com,FL,2023-10-18,31
9,Michael,Santiago,lynchgeorge@example.net,GA,2023-12-17,50
10,Steven,Nelson,gabriellecameron@example.org,WI,2023-12-06,19
11,Antonio,Stewart,carl95@example.org,MO,2024-10-13,30
12,Randall,Rocha,ithomas@example.org,MO,2024-12-17,44
13,Amber,Burgess,zhurst@example.com,GA,2023-11-29,46
14,Whitney,Hicks,camposmichelle@example.org,MD,2024-09-22,35
15,Laura,Henderson,cruzcaitlin@example.com,CA,2024-07-12,66
16,Tasha,Valencia,frazierdanny@example.net,IL,2024-12-21,62
17,Kayla,Peterson,ryan70@example.net,AZ,2025-03-23,39
18,Jose,Mason,williamrodriguez@example.net,NC,2024-01-26,27
19,Danielle,Lynch,nathanielmartin@example.net,OH,2025-04-23,79
20,Carol,Burns,hickmannatasha@example.com,NJ,2023-12-14,24
21,John,Bradley,millertodd@example.org,FL,2025-06-05,42
22,Amanda,Martinez,karroyo@example.com,NY,2024-07-11,40
23,Catherine,Brandt,jenniferross@example.net,VA,2024-10-09,56
24,Samuel,Holmes,wrightcaleb@example.org,NC,2024-08-25,69
25,Jerry,Robinson,zimmermanbrian@example.org,TX,2025-04-13,64
26,Michele,Jones,joshuawashington@example.net,MA,2023-09-26,52
27,Selena,Duncan,esanchez@example.com,NY,2023-11-08,80
28,Collin,Jordan,ujenkins@example.org,WA,2024-10-26,23
29,Tracey,Garcia,zchandler@example.org,MO,2023-12-20,36
30,James,West,dwhite@example.org,WI,2025-03-22,74
31,Charles,Morton,williamsyvette@example.org,VA,2025-05-30,54
32,Sara,Allison,richardolson@example.com,OH,2025-04-11,63
33,Franklin,Smith,ybaker@example.com,FL,2024-01-16,20
34,Heather,Cross,smoore@example.org,GA,2025-05-30,67
35,Beth,Daniels,brian97@example.net,MI,2025-04-24,23
36,Amanda,Brown,yorkcasey@example.org,GA,2024-10-27,73
37,Joe,Wilson,bethwilliams@example.org,NY,2024-04-23,42
38,Brandy,Mills,james53@example.com,NC,2024-04-06,47
39,Emily,Evans,sarah10@example.com,VA,2024-09-18,28
40,Anna,Garcia,williamanderson@example.com,VA,2025-03-26,40
41,Natasha,Wood,samueldaniels@example.com,OH,2024-09-11,60
